project_id,correlation,forks_mean,contributor_mean,commits_mean,commit_comment_mean,req_opened_mean,req_closed_mean,req_merged_mean,req_other_mean,issue_mean,issue_comment_mean,watchers_mean
20839,p-value,0.38792042252930536,6.360817896737668e-08,6.143605523748727e-07,0.0036235505996657816,0.06296077913717647,0.06296077913717647,0.07919636425250848,0.877800622218463,4.194996602677653e-08,0.0001442754277337798,2.668224227680236e-07
20853,p-value,0.00989651184522411,6.800245083482472e-05,1.1404863379098819e-07,0.04414242097946826,0.08647409510262408,0.03675589314818366,0.001105702383620038,0.004842148166681391,8.445986360848541e-06,8.668188148725396e-07,0.6361923700369959
21187,p-value,0.014368402558719314,0.023224397196316703,3.5491460119916255e-06,0.784437792352845,0.5251305231519314,0.9474724030834274,nan,0.8640380187784938,0.5220094145745471,0.76553482148858,0.46643963537454836
21231,p-value,0.01006471966693429,1.9634292017371942e-07,2.6145963486044223e-07,0.08874948410376311,1.3697562957281402e-06,7.442124283499884e-07,6.116465145687853e-05,0.0701272655041687,3.643197529280927e-08,9.741021882750924e-05,0.6070676690916783
21302,p-value,0.024507922277951035,0.0003705333937727916,1.2037297028583549e-13,0.5020672227176811,3.909356884327142e-10,7.70752516473382e-11,1.9738994811976513e-10,0.016725630359090075,2.6456601137228154e-08,1.3378801558235039e-13,0.1085517343177999
21352,p-value,0.7726268625646735,0.36554593041556394,0.0010306975298897405,0.731741649624795,0.0025021738547545444,0.0016139737476416548,6.59359916626268e-05,4.233314211346774e-09,0.0005013381117939113,0.03366129939004631,0.35212015192036056
21485,p-value,2.139770598266171e-07,6.478245217621398e-05,0.010264730147685808,nan,0.17297896970265364,0.11546099406128617,0.016535966695388163,0.7670060682506255,0.013629491468156351,0.012674898013211785,0.005285730235211404
21750,p-value,0.046299191295255365,4.1592324504220776e-15,3.785510351538348e-12,0.5986472175303076,1.1936471240263661e-05,5.9204649646148384e-05,0.0001611269124461227,0.006340260899259736,2.1907243946399717e-05,0.0001234196545525781,0.7886742725509301
22841,p-value,0.00024500399744397164,3.4360895398300885e-07,1.541271552095084e-07,0.00010486223572510236,2.8003331185929453e-09,9.862955949294772e-10,7.257266177386386e-06,0.12183894606380292,3.4010433282109e-07,3.955694587306534e-06,0.22221274845076455
22903,p-value,0.4332354305661207,1.992014022956151e-07,7.426265079912966e-16,0.586381348387961,7.550253029285394e-06,2.7845076238582544e-05,0.40876502845469975,0.9638088425197857,1.0063567799967238e-06,7.000202427613437e-08,0.8050391343126485
23019,p-value,0.717151874211575,0.5040284026821659,0.0003419437663040911,0.8547416501402486,0.041666230727688006,0.0289329295491511,0.00592028583628108,0.00016858922365571672,4.5595037910408794e-05,0.03636364857687675,0.3269637527387845
23052,p-value,0.2671846664887605,0.10617585194268735,0.6124210470592629,0.06466288511748641,0.007291273279811045,0.07918340638758334,0.004665560581386787,0.00235144603907762,0.00881171177495845,0.505581643643477,0.8457382472499794
23386,p-value,0.000530115434575824,0.024940513968973194,5.944035676780623e-05,0.0005921313563123946,0.0016960330017501517,2.780555847409367e-07,0.013937052001916533,0.03519375303391968,2.2680853806238524e-07,4.52312879181483e-07,0.6485633248397283
23435,p-value,0.5812568523271269,0.5521716252582237,0.06555135465476065,0.005673856806805967,0.3833453910921164,0.08024159536382106,0.02112832705903152,0.7409595182604181,0.694176540327225,0.562411519475132,0.27004887525576
23681,p-value,7.144887836864014e-10,4.012370897144622e-15,6.691663640307492e-09,nan,3.831714903899404e-15,3.358250837755551e-08,7.095925081320395e-07,0.02748948049107413,2.56031675716673e-09,1.0760144817117412e-08,0.9112635258407217
23999,p-value,0.05156565926592104,4.829186906223777e-07,3.028670040426226e-06,0.569157274244958,6.408720032458544e-09,8.603938237821128e-10,5.21186517613084e-12,0.016311409952687074,6.046850381589475e-07,0.0020106061739735386,0.1431738180643078
